" i love him dearly and will forever, but i definately was not ready for that",joy
" Regardless of my temporal status as far as my brother is concerned, time still moves ahead at a frighteningly rapid pace",fear
 Tricky bastards,disgust
" I think though, what pisses me most off about the food delivery issue - is that he has chosen the easy ""I don't have to do anything"" option",anger
 Hurt so bad you stay in your room,sadness
 And who have some sense of style but are still kind of dorky but have social skills?,noemo
" The words made me think Now I have thought, and thought, and you who know me best will not be surprised that I thought some more ",surprise
" * I'm happy to taste any new flavor of ice cream (I love to try new flavors!), but when it comes to ordering, it's always Mint Chip",joy
" so no i wont have my head too high up my ass about it, but im noot going to sit here and think/dread it everyday either",fear
 One such being the slight civil annoyance of another commuter's feet riding pride high on the train seats,disgust
 THEY called me,anger
 i cried on the way home from myrtle,sadness
" Once again, I was like caught in the web, unable to free myself",noemo
 Haven't seen him in ages,surprise
" We'll just have to drag her down to the rink one of these days, lol!",joy
" My mother was there for me the whole time while I was scared to death, losing consciousnes, and fearing for my life, and I will always remember that",fear
 It is sickening,disgust
" Then they were cutting this damn tree down, and they made me go with then by dragging me over since I didn't want to go, and when I tried to sneak away",anger
 Miss it and that is it,sadness
 I can only imagine my face looks like those people who try to throw their soul away,noemo
" I jump, shrieking a little before I realize it's only Kubik",surprise
 Wow,joy
 The Muslims too have yet to seriously address the fears and concerns of 'indigenous' white westerners - who have opened their doors from some of the worlds worst economically and socially oppressed societies,fear
 What will it take to rise above and leave this human ashtray that we've been snubbed into?,disgust
 we'll just let our governments do whatever the fuck they want because we want to brush our fucking teeth on a plane after some really bad airplane food,anger
 Goodbyes break my heart and make me choke on my last words,sadness
 But I didn't hug him,noemo
" as unexpectedly and elusively as the innernets appear, SO DO THEY STOP DISAPEAR",surprise
" Not that Erin has a problem, she loves kids and works with them, but I've never honestly been much of a kid person",joy
 And the soul afraid of dying that never learns to live,fear
" Gag, enough on that crap",disgust
 I was thinking about our most recent spat today at dinner and wondering why the hell everything turns out this way,anger
 its just kinda just a bunch of little things and then you get sad and you just want to go cry and just be away from reality,sadness
3,noemo
 I cannot believe the nerve of this man,surprise
 That it is still standing for us to see is,joy
 I was just scared,fear
" Ew, we had this really crappy sub",disgust
 Bitch,anger
" In Gross Anatomy, our cadavers were solemn - laying on the tables as if in a deep slumber",sadness
 Then I wake up,noemo
 I dunno what else to say though except it's shocking that I'm updating early,surprise
 offered to give us her fridge (woooo!),joy
 But I do know the perils of a life devoid of ritual,fear
 WTF),disgust
 okay shut up!,anger
" He begins to speak while you're planning, ""I'm sorry to have to tell you this(ok, I can move back home for a while and go back to school and work on my degree",sadness
 I stretch my arms out as far as they will reach just as the first drum rolls of thunder pound my ears,noemo
" Didn't think she would do it, but hey!",surprise
 The fireworks were beautiful,joy
" Afraid, confused, without a road map",fear
" People are just rude and selfish, and I know I'm victim too, but I don't want to be like that",disgust
" I have a friend that is gonna die, probably sooner than later, and I was  angry because some of the choices he has made in the last few years have cut his time down to virtually nothing",anger
 more often you find things to bring you down or worry about,sadness
 Hard alcohol would surely have put me in the ER,noemo
 And I believe that God gave me this amazing opportunity for a specific reason and there's no way I'm turning it down,surprise
" So, I love 4 day weeks of school, I really do",joy
 It's the dream afraid of waking that never takes the chance,fear
 messed up a Quiz in Biology which sucks,disgust
 Do you people not listen to the news or what?,anger
 Un-happy people,sadness
" You can find nearly all of the most popular composers in this era, namely Mozart and Beethoven (both of whom didn't know they were writing ""classical"")",noemo
" And then we watched in amazement with fifty other tourists as the sun went down in front of the temple, over the Mediterranean",surprise
 gotta love it,joy
 What's interesting about their motivations is that most of what we're supposed to be afraid of is actually simply informative alternatives to the status quo: the fear of change,fear
" Lat night, while trying to demonstrate to Tequila Boy how effectlivley I could beat him up if he ever had a complete change of personality and decided to attack me I slipped on the carpet trying to demonstrate a roundhouse kick fell backwards and hit the wall with what I'm assured was a sickening crack",disgust
 First she is all mad because I haven't called her back in a week,anger
 society has become just one big stress pool,sadness
 is this becuase its summer?,noemo
" I thought: ""that's strange, what's that about?""",surprise
" P. If you don't understand exactly what I did (it's a bit technical), just know that it was impressive and I rock",joy
 Really scared,fear
" I would have given this man, who obviously had little regard for me, my life in exchange for his bullshit and lies",disgust
" I am in such a bad mood and I'm playing the blame game in my head, getting angry at people for things that are really quite trivial",anger
 I love him with every ounce of everything that I am- but try as I might- we just cant' get it together,sadness
 Thanks for the support!,noemo
" Hm, was a bit weird",surprise
 You actually enjoy driving around rotaries,joy
