When I had achieved a goal indirectly. I work for CAL Football  and our 2nd win of the season was very gratifying and brought  our joy because of the hard work involved and the fact that no  one expected we would win.,joy
While intoxicated I damaged my sister's car in a minor way and  someone elses in a minor way.,guilt
[ Never.],fear
A mother who shouts at her child for nothing.,disgust
When my dad caught me with a honey (girlfriend) in my bedroom.,shame
After a long trip in my dad's van without incident I stopped to  fill the tank with gas and dented the side of the van against the  pole. Then my cars electrical system would not work when I tried  to drive home from his house.,anger
"A person I really like left for overseas for a few months, I had  hoped to go out with her soon.",sadness
"When my red-cheeked, content child runs to meet me in the yard of  the kindergarten and gives me a moist kiss on my cheek.",joy
I was late meeting someone for an appointment.,guilt
"One evening I was watching the news on TV. Again they were  talking about the danger of war. Suddenly I imagined what it  might mean for me, for my friends, for the people close to me. I  felt it a very near and possible event.",fear
"I am disgusted with liers, hypocrites, slanderers, flunkeys.",disgust
"When I lied to my girlfriend, telling her that I had passed an  exam, when I actually did not even take it.",shame
My parents scolded me a lot for something I had not done.  It was  my sister who had done it.,anger
"My father suddenly fell ill. He stayed for 3 months in the  hospital: the last month on intensive care of the Academic  Hospital, then he died.",sadness
"I found a human \treasure\"" that I desired and got immediately. I a didn't think about anything. When I touched him I imploded but I a am whole.""",joy
"When I was driving my car, I wanted to pick something from the  floor of the car and drove into the guide-rail. I thought that I  should not have done that and felt guilty.",guilt
Staying in a relative's house which was broken in before.,fear
I found out that someone that I knew had someone else taking  tests for her.,disgust
I did badly in the mid term examination.,shame
Discussing with a certain person about a job I was getting and  that perosn was negative and pessimistic.,anger
It was only once that I really felt sad: at my grandfather's  funeral (after a long time of suffering he had died of cancer).,sadness
When I was admitted to the Chinese universiity.,joy
When I sided with my mother in a quarrel she had with my father  before they briefly separated.,guilt
"I was driving my car and it was very misty. It was in the night  and I was alone in my car. I felt totally insecure, nervous and  overstrained.",fear
When I heard the bad news about the death of a close person.,disgust
When I was a child I had to recite a poem in a show at the end of  the term.,shame
My grandmother's brother had taken active part in the resistance  movement. He had been in prison many times and there he lost his  health. He became an invalid. When we phoned to First Aid the  nurse on duty behaved quite unkindly when she understood how old  he was (79).,anger
"I hadn't been at my parent's place for a long time. When I went to  visit them I had high expectations, but when I was there it was  very different from what I expected.",sadness
"A holiday at a whitesand deserted beach. A cool evening near the  end of summer and we had a fire in the sand - toasted  marshmellows, cuddled and drank champagne.",joy
I hit my little sisiter on the head with a stone while we were  fighting.,guilt
When I was to sit for my first entrance exam. I had fear of a  possible failure.,fear
"When a \friend\"" dropped a frog down my neck, and I didn't know a what it was.""",disgust
When I failed my Primary school leaving Examinations. I never  thought I would fail. When I heard I had failed I really felt  ashamed of myself.,shame
"I worked with several classmates on a project.  I was very  anxious about the project while my partners showed no concern   and when we had meetings on the project my classmates  did not  pay any attention.  Some of them read books while the others  argued on irrelevant questions.  The meeting would go on for two  hours without the main theme being discussed.  We wasted time and  could not reach a compromise.  My classmates avoided doing the  work and the responsibilities, they seemed to value other  projects more than this one.",anger
When I did bad on a chamistry midterm which I could have done  well.,sadness
After 3 weeks I saw my girlfriend again.,joy
"When I got associated with a boy one year ago, I neglected my  best friend. When the relation with this boy finished she behaved  very easy-going towards me. I felt guilty then.",guilt
"My episode of fright happened when I came to study.  I had to  stand in front of my still unknown fellow students and talk about  myself.  My hands shook, I flushed and became tongue-tied.",fear
A relative not acting on her promise.,disgust
When I forgot about a meeting at work.,shame
"When a discussion resulted in an insult, which in my opinion, was  not justified.",anger
The same as for SHAME and DISGUST. I was asked to resign my  sorority which I did because I was ashamed.,sadness
Doing unexpectedly well in an examn.,joy
I felt guilty when I once went out with another boy and made love  with him while I had a close boyfriend.,guilt
I was living with my brother and one day he went away on business  and I was left alone to look after the house and the property. At  night thieves came and wanted to break into the house.,fear
When I was teaching a student started making silly remarks in  class.,disgust
