abnormal,27034
abolish,31165
abort,34771
aborted,38166
abrupt,24573
abruptly,18489
absence,5171
absentee,25066
absurd,16091
absurdity,40020
abuse,2134
abused,9441
abuses,13052
abusive,14202
abyss,40902
accidental,18305
accusation,17984
accusations,6124
accuse,15311
accuses,18519
accusing,8601
adamant,22668
addict,27857
addicted,23311
addicts,26508
adversary,32714
adverse,12661
adversity,22837
afraid,6023
aggression,14227
aggressive,4353
agony,32248
ail,34712
alarm,8054
alarmed,23438
alarming,16156
alienated,36462
alienation,42157
allegation,10069
allegations,1857
allege,16336
allergic,28349
allergies,26331
allergy,26465
altercation,16678
ambiguity,35566
ambiguous,33406
ambush,30382
anarchism,48869
anarchist,44771
anarchy,40445
anger,6378
angrily,30302
angry,5800
anguish,32446
animosity,34351
annihilation,43029
annoy,36074
annoyance,39341
annoyed,26678
annoying,19887
anomaly,30942
antagonist,40243
anxiety,6882
anxious,13473
apocalypse,36372
apocalyptic,39285
appalled,31514
appalling,26027
apprehension,34640
arbitrary,23501
arcane,44021
archaic,40586
arrogance,32818
arrogant,30967
ashamed,20085
assail,48315
assassin,38109
assassinate,40205
assault,2080
atrocities,21692
attack,908
attacks,1912
authoritarian,19574
avalanche,24400
aversion,33814
awful,11522
awfully,38515
awkward,11789
ax,18884
backward,18173
bad,1099
badly,7340
baffled,33396
bait,22836
balk,31110
bankrupt,19117
barbaric,38025
barren,36175
baseless,28596
bash,12882
bashing,37458
bastard,43143
battered,18432
beg,21422
begging,22901
belie,43731
bent,18822
betray,32263
betrayal,26760
beware,36798
bias,9415
biased,21099
biases,31681
bigotry,25102
bitch,32594
biting,25609
bitter,10513
bitterly,31337
bitterness,35759
bizarre,11676
blackmail,23616
blah,38596
blame,4887
bland,35063
blasphemy,33849
blasted,14248
blatant,26248
blatantly,35519
bleak,23530
bleed,33096
bleeding,13162
blind,7709
blinding,43279
blister,21786
bloated,33602
bloodshed,27801
bloody,13629
blow,4627
blunt,18720
blur,28133
blurred,34186
blurry,40427
bogus,28007
boil,18533
boiling,27513
bomb,4840
bombard,42602
bombardment,36449
bondage,42330
bore,18406
bored,23809
boredom,40326
boring,15305
bother,15304
bothered,18523
bothering,36669
bothers,38070
boycott,13978
brazen,27502
breach,6999
break,1108
breakdown,9336
breaking,3433
breaks,6383
breakup,21310
bribery,16854
brittle,40818
broke,2263
broken,3187
brood,39339
bruised,26360
bruises,27452
bruising,26693
brutal,8513
brutality,20509
brutally,23134
brute,40828
buckle,35466
bug,13673
buggy,40399
bugs,19230
bulky,35156
bullies,33969
bullshit,37568
bully,23934
bullying,11902
bum,29673
bump,8792
