you can take pictures seconds after you turn the camera on literally !,positive
"during install , nis would either freeze or not reboot properly when asked to do so",negative
"it holds quite a few diapers , and pops them in quickly and easily",positive
there technical service isn ' t helpful either they just read what ' s on their website and charge you 50 ( toll fees ) to do it,negative
"ability to play most discs i tried dvd , vcd , dvd r , audio cd and it played all",positive
unfortunately it can ' t play all of the dvd,negative
i want to start off saying that this camera is small for a reason,positive
"namely , it wouldnt sync",negative
"overall build quality , good macros results , impressive video quality , good pictures with flash ( good colours , sharp results ) , excellent auto white balance",positive
"i was impressed by this very inexpensive player for the first three hours , and then it died",negative
the micro has an impressive array of very nice features and a well designed user interface,positive
"warning ! the windows remove program feature does not do a good job of this , and neither does norton ' s own removal program",negative
received apex dvd and the picture was great when set up with s connector,positive
the first one would n ' t work from the start,negative
"battery life is very good , i use it every day and i have to charge it every 5 or 6 days or so",positive
my daughter is only 4 months old and we do notice an odor,negative
"also , the nomad ' s 14 hours of battery life versus 8 is handy",positive
"they are a royal pain to install , and don ' t function properly once finally installed if you can install them at all",negative
"as far as user interface is concerned , the best and easiest to use seems to be the one that comes with the player , ' creative mediasource organizer '",positive
the included earbuds were uncomfortable,negative
"the log functions helps you track down the incoming , outgoing calls in the most easy of ways",positive
"the player usually plays dvd ' s , but has occasional problems such as 1 ) not recognizing a dvd 2 ) stopping a particular point in a movie every time we played it 3 ) not being able to access certain special features on a rental dvd",negative
the lens retracts and has its own metal cover so you don ' t need to fuss with a lens cap,positive
but not good enough for me,negative
"this phone won me over , and a big seller was the size it fits nicely into any pocket without falling out",positive
the product also leaves a faint smell in the room,negative
my favorite thing about the nomad is the eax feature,positive
"the only complaint i have is that when you push in the scroll wheel to select , you have to push straight in or it sticks",negative
this is overall the best point and shoot camera i ' ve used,positive
"the only reason for not giving it 5 stars the claimed battery life of 12 hours is very optimistic possible maybe if you really sit down and listen continuously for 12 hours without ever touching the player , but in real life i can probably get 6 8 hours at most",negative
"i give this product five stars for its usability , performance , expandability , and definitely looks !",positive
"nice machines , but i consider their quality pretty low now",negative
large easy readable screen,positive
since zen does not have an external antenna it has some problems catching weak signals but it works,negative
the in ital setup of the router was simple,positive
other cameras taking pics of the same subjects turn out looking much better,negative
in auto mode anyone can use it as a point and shoot camera,positive
"if you do n ' t have tags , it ' ll lump all of your tracks into the same directory and they can not be searched via artist or album as the zen does not recognize folders",negative
"the software was great , as long as you have an administrative user account ( windows xp )",positive
"it would have been much nicer if it had a window so you could see the screen , and if the button did n ' t cover up the ac jack",negative
"it ' s still alive , still kicking , and still playing",positive
"to address two previous somewhat negative reviews ( 1 ) yes , the lens barrel does obstruct part of the lower left corner in the lens viewfinder however , the lcd viewfinder is rather stunning and i find myself rarely using the lens viewfinder",negative
"this router acts as a wireless access point , 100 mb switch and a router making it a nice multipurpose device",positive
"i registered for this item because of the good reviews it got , however i was not impressed",negative
the nomad explorer provide most of the functionality offered by 3rd party programs like notmad,positive
too bad the product is cumbersome and intertwined trying to do so much at one time,negative
"the creative zen micro , at first glance , is a dream come true for all mp3 and music lovers",positive
"for one thing , the diapers always get jammed in it",negative
"the picture is clear , bright and sharp and the sound is good",positive
"what disappoints me the most that a software like that is not cheap gets zero support form symantec , if you want support , they ' ll charge you a fee !",negative
pros large hard drive for the 20gb and 40gb are both affordable,positive
one also exhibited extremely slow speed when going to the menu,negative
"i ' m not sure why all the bad reviews , my computer isn ' t especially slowed down and i have win ' 98",positive
the little jog dial seems weak and quirky and i hope i do n ' t figure out a way to break it,negative
ive had this phone for a year now and its the best phone i have owned,positive
"all in all , not very good",negative
i had no problems following their installation instructions,positive
"one beef is the scroll , it does n ' t work as well as i ' d like",negative
1 the ability to selectively switch to raw format during record review gives you incredible more post processing flexibility,positive
other than that it is all the same except the new updates,negative
"i did not conduct a rigorous test , but just took some identical shots in identical lighting with both cameras , and the canon won hands down",positive
"i read in consumer reports that apex is a reliable brand , but with my experience and reading the other reviews , i think i will be doing a little more homework before considering another apex product",negative
but this camera is great !,positive
my only significant complaint is sound quality,negative
